horse,horseLabel,mother,motherLabel,father,fatherLabel
http://www.wikidata.org/entity/Q102236314,Ornament,,,,
http://www.wikidata.org/entity/Q102236315,Dr. Catlett,,,,
http://www.wikidata.org/entity/Q102236318,Dr. Shepard,,,,
http://www.wikidata.org/entity/Q102236320,Goshen,,,,
http://www.wikidata.org/entity/Q102236322,Ben Brown,,,,
http://www.wikidata.org/entity/Q102236325,Lieber Karl,,,,
http://www.wikidata.org/entity/Q102236327,Isabey,,,,
http://www.wikidata.org/entity/Q102236330,Han d'Or,,,,
http://www.wikidata.org/entity/Q102236335,Corsini,,,,
http://www.wikidata.org/entity/Q102236337,Mazo,,,,
http://www.wikidata.org/entity/Q102236339,His Lordship,,,,
http://www.wikidata.org/entity/Q102236343,Fontainebleu,,,,
http://www.wikidata.org/entity/Q102236385,Florizar,,,,
http://www.wikidata.org/entity/Q102236388,Thrive,,,,
http://www.wikidata.org/entity/Q102236391,Highland Lad,,,,
http://www.wikidata.org/entity/Q102236396,His Excellency,,,,
http://www.wikidata.org/entity/Q102236398,Kentucky Farmer,,,,
http://www.wikidata.org/entity/Q102236403,Sannazarro,,,,
http://www.wikidata.org/entity/Q102236407,Driscoll,,,,
http://www.wikidata.org/entity/Q102236412,Amur,,,,
http://www.wikidata.org/entity/Q102236414,Alard Scheck,,,,
http://www.wikidata.org/entity/Q102236418,Inventor,,,,
http://www.wikidata.org/entity/Q102236422,The Rival,,,,
http://www.wikidata.org/entity/Q102236423,Abe Frank,,,,
http://www.wikidata.org/entity/Q102236429,Early,,,,
http://www.wikidata.org/entity/Q102236432,Bourbon,,,,
http://www.wikidata.org/entity/Q102236434,Bad News,,,,
http://www.wikidata.org/entity/Q102236439,Woodlake,,,,
http://www.wikidata.org/entity/Q102236442,Treacy,,,,
http://www.wikidata.org/entity/Q102236449,Ed Tierney,,,,
http://www.wikidata.org/entity/Q102236497,Brancas,,,,
http://www.wikidata.org/entity/Q102236501,Prince Silverwings,,,,
http://www.wikidata.org/entity/Q102236505,Proceeds,,,,
http://www.wikidata.org/entity/Q102236509,Ram's Horn,,,,
http://www.wikidata.org/entity/Q102236513,Layson,,,,
